,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
88,22-09-2012,Australia,West Indies,Australia,17 runs (D/L method),Colombo,
89,23-09-2012,New Zealand,Pakistan,Pakistan,13 runs,Pallekele,
90,23-09-2012,England,India,India,90 runs,Colombo,
91,24-09-2012,West Indies,Ireland,,,Colombo,
92,25-09-2012,Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,
93,27-09-2012,Sri Lanka,New Zealand,Match Tied,one-over eliminator,Pallekele,
94,27-09-2012,England,West Indies,West Indies,15 runs,Pallekele,
95,28-09-2012,Pakistan,South Africa,Pakistan,2 wickets,Colombo,
96,28-09-2012,Australia,India,Australia,9 wickets,Colombo,
97,29-09-2012,England,New Zealand,England,6 wickets,Pallekele,
98,29-09-2012,Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,
99,30-09-2012,Australia,South Africa,Australia,8 wickets,Colombo,
100,30-09-2012,Pakistan,India,India,8 wickets,Colombo,
101,10-01-2012,West Indies,New Zealand,Match Tied,one-over eliminator,Pallekele,
102,10-01-2012,Sri Lanka,England,Sri Lanka,19 runs,Pallekele,
103,10-02-2012,Australia,Pakistan,Pakistan,32 runs,Colombo,
104,10-02-2012,India vs,South Africa,India,1 run,Colombo,
105,10-04-2012,Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo,
106,10-05-2012,Australia,West Indies,West Indies,74 runs,Colombo,
107,10-07-2012,Sri Lanka,West Indies,West Indies,36 runs,Colombo,
108,16-03-2014,Bangladesh,Afghanistan,Bangladesh,9 wickets,Dhaka,
109,16-03-2014,Hong Kong,Nepal,Nepal,80 runs,Chattogram,
110,17-03-2014,Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,
111,17-03-2014,Netherlands,UAE,Netherlands,6 wickets,Sylhet,
112,18-03-2014,Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,
113,18-03-2014,Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,
114,19-03-2014,Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,
